,image,question,choices,answer,hint,task,grade,subject,topic,category,skill,lecture,solution,baseline_result,correct/incorrect,predicted_letter,gold_letter,CoT_result,reasoning,predicted_letter_CoT,correct/incorrect_CoT
1621,,"Complete the sentence.
 an egg is fertilized, it can become a ().","['After . . . cone', 'After . . . seed', 'Before . . . cone', 'Before . . . seed']",1,,closed choice,grade4,natural science,biology,Flip-to-correct,Describe and construct conifer life cycles,"Conifers are plants that grow cones. Conifers use their cones to reproduce, or make new plants like themselves. How do conifers use their cones to reproduce?
Conifers can grow male and female cones. Male cones make pollen, and female cones make eggs. Pollination is what happens when wind blows pollen from male cones onto female cones. After pollination, sperm from the pollen can combine with eggs. This is called fertilization. The fertilized eggs grow into seeds.
The seeds can fall out of the cones and land on the ground. When a seed lands on the ground, it can germinate, or start to grow into a new plant.","Fertilized eggs grow into seeds. An egg cannot become a seed until after it is fertilized.
A seed can grow into a new plant, which can grow cones. But a fertilized egg does not become a cone.",(A),0,A,B,"Reasoning:An egg is fertilized, it can become a seed. The final answer: (B).","An egg is fertilized, it can become a seed.",B,1
8804,,"Which type of sentence is this?
Raymond always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.","['simple', 'compound', 'complex', 'compound-complex']",1,,closed choice,grade9,language science,grammar,Flip-to-correct,"Is the sentence simple, compound, complex, or compound-complex?","A clause is a group of words that contains both a subject and a predicate.
An independent clause is a complete thought that can stand alone as a sentence. A dependent clause (or subordinate clause) is not a complete thought and cannot stand alone as a sentence.
the oranges on our tree are ripe
The clause can stand alone. It is independent.
after we pick up Kevin from work
The clause cannot stand alone. It is dependent.
A simple sentence is made up of a single independent clause.
Ben and I spent all day relaxing by the pool.
Some simple sentences have introductory phrases, but the introductory phrase is part of the predicate.
In the winter, Ben usually wears his heavy coat.
Ben usually wears his heavy coat in the winter.
A compound sentence is made up of two independent clauses joined by a coordinating conjunction such as and, but, or, or so.
We saw the flash of lightning, and seconds later we heard a rumble of thunder.
A complex sentence is made up of an independent clause and a dependent clause. The dependent clause in a complex sentence usually begins with a subordinating conjunction or relative pronoun. Subordinating conjunctions include after, although, as, because, before, if, since, unless, until, when, and while. Relative pronouns include that, which, who, whom, or whose.
If she ever gets the chance, Terri would love to visit the Egyptian pyramids.
During his trip to Italy, Tony visited the Trevi Fountain, which is in Rome.
A compound-complex sentence is made up of two or more independent clauses and one or more dependent clauses.
After Samantha left work, she stopped at the bank, and then she went to the gym.
Sometimes a dependent clause in a complex or compound-complex sentence can interrupt an independent clause.
Orcas that are kept in captivity often have bent dorsal fins.","The sentence is compound. It is made up of two independent clauses joined by the coordinating conjunction and.
Raymond always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.",Raymond always approaches difficult tasks,0,,B,"Reasoning:Raymond always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor. The final answer: (B).","Raymond always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.",B,1
9627,,Select the bird.,"['manta ray', 'emerald hummingbird', 'grass frog', 'green iguana']",1,,closed choice,grade5,natural science,biology,Flip-to-correct,"Identify mammals, birds, fish, reptiles, and amphibians","Birds have feathers, two wings, and a beak.","A green iguana is a reptile. It has scaly, waterproof skin.
Iguanas are a type of lizard. Iguanas eat plants and fruit.
An emerald hummingbird is a bird. It has feathers, two wings, and a beak.
Hummingbirds can fly backwards and upside-down!
A manta ray is a fish. It lives underwater. It has fins, not limbs.
Rays have a different shape than many other fish. Rays are large and flat. They have wide, triangle-shaped fins that help them swim long distances.
A grass frog is an amphibian. It has moist skin and begins its life in water.
Frogs live near water or in damp places. Most frogs lay their eggs in water.",emerald,0,,B,Reasoning:Emerald hummingbird is a species of bird. Emerald hummingbird is a green iguana. The final answer: (B).,Emerald hummingbird is a species of bird. Emerald hummingbird is a green iguana.,B,1
9135,,How long is a caterpillar?,"['24 millimeters', '24 kilometers', '24 meters', '24 centimeters']",0,Select the best estimate.,closed choice,grade6,natural science,units-and-measurement,Flip-to-correct,"Choose metric units of distance, mass, and volume","Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
When you are using metric units, length can be written with units of millimeters, centimeters, meters, or kilometers. One meter contains 100 centimeters or 1,000 millimeters. So, 1 meter is larger than 1 centimeter, and 1 centimeter is larger than 1 millimeter.
The tip of the pencil shown here is only 1 millimeter wide, but the pencil is about 16 centimeters long.
A red fox is about 1 meter long. The Sydney Harbour Bridge in Australia is about 1,000 meters, or 1 kilometer, in length.","The best estimate for the length of a caterpillar is 24 millimeters.
24 centimeters, 24 meters, and 24 kilometers are all too long.",D,0,D,A,Reasoning:A caterpillar is 24 millimeters long. The final answer: (A).,A caterpillar is 24 millimeters long.,A,1
12050,,Select the reptile.,"['domestic pig', 'tortoise', 'leafy seadragon', 'American toad']",1,,closed choice,grade5,natural science,biology,Flip-to-correct,"Identify mammals, birds, fish, reptiles, and amphibians","Reptiles have scaly, waterproof skin. Most reptiles live on land.","A leafy seadragon is a fish. It lives underwater. It has fins, not limbs.
A seadragon's body looks like a clump of seaweed. This helps the seadragon hide from its predators.
An American toad is an amphibian. It has moist skin and begins its life in water.
Toads do not have teeth! They swallow their food whole.
A domestic pig is a mammal. It has hair and feeds its young milk.
Pigs are omnivores. This means that they can eat both plants and animals.
A tortoise is a reptile. It has scaly, waterproof skin.
A tortoise's shell protects it from predators. When a tortoise feels threatened, it can pull its head and legs inside its shell.",D,0,D,B,Reasoning:American toad is a reptile. The final answer: (B).,American toad is a reptile.,B,1
1775,,Select the vertebrate.,"['common octopus', 'turkey vulture', 'hissing cockroach', 'praying mantis']",1,"Hint: Mammals, birds, fish, reptiles, and amphibians are vertebrates.",closed choice,grade5,natural science,biology,Flip-to-correct,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","Like other octopuses, a common octopus is an invertebrate. It does not have a backbone. It has a soft body.
A praying mantis is an insect. Like other insects, a praying mantis is an invertebrate. It does not have a backbone. It has an exoskeleton.
A turkey vulture is a bird. Like other birds, a turkey vulture is a vertebrate. It has a backbone.
A hissing cockroach is an insect. Like other insects, a hissing cockroach is an invertebrate. It does not have a backbone. It has an exoskeleton.",(D),0,D,B,Reasoning:Vertebrates are a group of vertebrates. Common octopus is a common octopus. The final answer: (B).,Vertebrates are a group of vertebrates. Common octopus is a common octopus.,B,1
2692,,"Which type of sentence is this?
Isaac took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.","['complex', 'compound-complex', 'compound', 'simple']",3,,closed choice,grade10,language science,grammar,Flip-to-correct,"Is the sentence simple, compound, complex, or compound-complex?","A clause is a group of words that contains both a subject and a predicate.
An independent clause is a complete thought that can stand alone as a sentence. A dependent clause (or subordinate clause) is not a complete thought and cannot stand alone as a sentence.
the oranges on our tree are ripe
The clause can stand alone. It is independent.
after we pick up Kevin from work
The clause cannot stand alone. It is dependent.
A simple sentence is made up of a single independent clause.
Ben and I spent all day relaxing by the pool.
Some simple sentences have introductory phrases, but the introductory phrase is part of the predicate.
In the winter, Ben usually wears his heavy coat.
Ben usually wears his heavy coat in the winter.
A compound sentence is made up of two independent clauses joined by a coordinating conjunction such as and, but, or, or so.
We saw the flash of lightning, and seconds later we heard a rumble of thunder.
A complex sentence is made up of an independent clause and a dependent clause. The dependent clause in a complex sentence usually begins with a subordinating conjunction or relative pronoun. Subordinating conjunctions include after, although, as, because, before, if, since, unless, until, when, and while. Relative pronouns include that, which, who, whom, or whose.
If she ever gets the chance, Terri would love to visit the Egyptian pyramids.
During his trip to Italy, Tony visited the Trevi Fountain, which is in Rome.
A compound-complex sentence is made up of two or more independent clauses and one or more dependent clauses.
After Samantha left work, she stopped at the bank, and then she went to the gym.
Sometimes a dependent clause in a complex or compound-complex sentence can interrupt an independent clause.
Orcas that are kept in captivity often have bent dorsal fins.","The sentence is simple. It is a single independent clause.
Isaac took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",(A),0,A,D,Reasoning:Table Mountain is a mountain. Isaac took several incredible panoramic photographs of the sweeping view from the top of Table Mountain. The final answer: (D).,Table Mountain is a mountain. Isaac took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.,D,1
4385,,How long is a garden snail?,"['43 kilometers', '43 millimeters', '43 centimeters', '43 meters']",1,Select the best estimate.,closed choice,grade7,natural science,units-and-measurement,Flip-to-correct,"Choose metric units of distance, mass, and volume","Measurements are written with both a number and a unit. The unit comes after the number. The unit shows what the number means.
When you are using metric units, length can be written with units of millimeters, centimeters, meters, or kilometers. One meter contains 100 centimeters or 1,000 millimeters. So, 1 meter is larger than 1 centimeter, and 1 centimeter is larger than 1 millimeter.
The tip of the pencil shown here is only 1 millimeter wide, but the pencil is about 16 centimeters long.
A red fox is about 1 meter long. The Sydney Harbour Bridge in Australia is about 1,000 meters, or 1 kilometer, in length.","The best estimate for the length of a garden snail is 43 millimeters.
43 centimeters, 43 meters, and 43 kilometers are all too long.",43 millimeters,0,,B,Reasoning:Millimeters is the length of an inch. A garden snail is 43 millimeters long. The final answer: (B).,Millimeters is the length of an inch. A garden snail is 43 millimeters long.,B,1
10921,,Select the vertebrate.,"['redback spider', 'human', 'grasshopper', 'saturn butterfly']",1,"Hint: Mammals, birds, fish, reptiles, and amphibians are vertebrates.",closed choice,grade4,natural science,biology,Flip-to-correct,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","A saturn butterfly is an insect. Like other insects, a saturn butterfly is an invertebrate. It does not have a backbone. It has an exoskeleton.
Like other spiders, a redback spider is an invertebrate. It does not have a backbone. It has an exoskeleton.
A grasshopper is an insect. Like other insects, a grasshopper is an invertebrate. It does not have a backbone. It has an exoskeleton.
A human is a mammal. Like other mammals, a human is a vertebrate. It has a backbone.",A,0,A,B,Reasoning:Vertebrates are the only living beings. Humans are the only living beings. The final answer: (B).,Vertebrates are the only living beings. Humans are the only living beings.,B,1
1948,,Select the invertebrate.,"['diving beetle', 'blue jay', 'harvest mouse', 'komodo dragon']",0,"Hint: Insects, spiders, and worms are invertebrates.",closed choice,grade5,natural science,biology,Flip-to-correct,Identify vertebrates and invertebrates,"Vertebrates and invertebrates are both groups of animals.
A vertebrate has a backbone. The backbone is made of many bones in an animal's back. A vertebrate's backbone helps connect the different parts of its body. In the drawings below, each vertebrate's backbone is colored orange.
An invertebrate does not have a backbone. In fact, invertebrates do not have any bones! Some invertebrates have an outer cover on their body called an exoskeleton. Other invertebrates have a soft body.","A diving beetle is an insect. Like other insects, a diving beetle is an invertebrate. It does not have a backbone. It has an exoskeleton.
A harvest mouse is a mammal. Like other mammals, a harvest mouse is a vertebrate. It has a backbone.
A blue jay is a bird. Like other birds, a blue jay is a vertebrate. It has a backbone.
A komodo dragon is a reptile. Like other reptiles, a komodo dragon is a vertebrate. It has a backbone.",diving beetle,0,,A,Reasoning:Diving beetle is an invertebrate. The final answer: (A).,Diving beetle is an invertebrate.,A,1
